trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-99.91156396032629,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",30,0,-144.90945821557102,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-165.64643768839832,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,0,-49.37420213976652,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-75.99060359532808,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",30,0,-222.71647253915523,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-130.46018940149972,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-72.27122505245734,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-34.406582631334395,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-124.53798724285885,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-62.35620888055042,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",35,0,-156.48626718160804,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-98.05012483037936,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-147.59940084820656,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-95.79421455888671,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-195.6512159210379,"{0: 11, 1: 1, 2: 8, 3: 4, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-120.42470951745368,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-142.94018767917768,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-20.067400462097318,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-147.45386117500405,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-95.91350639501277,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,12,-21.978002539779432,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,13,-1.379477080884433,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-9.780263834926469,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-143.45755160622292,"{0: 26, 1: 1, 2: 4, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-70.09545976182767,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-126.45193491422532,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-57.289712159648204,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",35,10,-119.50598939739008,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",1
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-87.08187036233366,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-39.48881077050072,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-10.813276390408983,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,18,12.608166403016607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-62.9649052481079,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-83.27263375782682,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-22.130166127179546,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-7.239580997403311,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,9,-57.97468098435338,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,8,22.328975837980153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,1,-91.39234745957226,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-99.96958911004016,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,27.602537054568952,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,3.795290336067122,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-46.14338001842928,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
