trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",30,0,-118.57005106772478,"{0: 22, 1: 1, 2: 2, 3: 4, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.998}",25,0,-183.88713823748444,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.997}",30,0,-162.5311612325746,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,-70.04475019049765,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,3,-112.44389319251243,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.994}",35,0,-113.35205112169236,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-137.72989138000327,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-61.58707242331562,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991}",30,0,-193.85423986167515,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.99}",30,0,-86.8628915812463,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.989}",20,0,-103.32542119712095,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,0,-113.89736117338383,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.987}",25,5,-101.82719695368077,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.986}",30,0,-179.8726526161258,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.985}",25,1,-134.22807746541957,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-247.05871803003532,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.983}",25,0,-169.05505053714054,"{0: 9, 1: 7, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-120.44190794334523,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.981}",25,0,-162.93731765167442,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.98}",25,7,-55.95752694821511,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.979}",20,0,-140.9341595118175,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.978}",25,0,-161.4595051849486,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.977}",25,0,-57.25944675310443,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.976}",30,0,-113.20672575323232,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.975}",25,7,-119.06288715663733,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.974}",20,0,-22.727601162795473,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.973}",25,0,-164.701865172337,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.972}",30,0,-252.61737690217865,"{0: 12, 1: 3, 2: 11, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.971}",20,0,-87.97622002937463,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.97}",25,0,-172.68529660483148,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.969}",25,0,-95.26742610722548,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.968}",25,0,-119.09426400669288,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.967}",20,0,-102.49707141761074,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.966}",20,0,-102.82882024766596,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.965}",25,0,-144.58548446842983,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.964}",25,0,-75.88123074613294,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.963}",25,0,-95.96949329548369,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.962}",20,0,-71.10285590032935,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.961}",20,13,-11.264309722667317,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.96}",20,0,-84.95016664434486,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.959}",25,0,-189.8352549638348,"{0: 16, 1: 4, 2: 0, 3: 1, 4: 4}",0
42,False,"{'a': 0.5, 'e': 0.958}",30,0,-128.13173949981663,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.957}",20,11,-16.445907688518943,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.956}",35,0,-143.761601918246,"{0: 20, 1: 3, 2: 10, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.955}",20,0,-124.77117261174105,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.954}",20,0,-208.20381147494723,"{0: 10, 1: 0, 2: 4, 3: 3, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.953}",25,0,-71.93175351073036,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.952}",25,0,-46.80997996959745,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.951}",20,0,-88.60490226831715,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.95}",25,0,-126.19283377668901,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.949}",25,0,-189.28055116230684,"{0: 17, 1: 2, 2: 0, 3: 2, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.948}",20,0,-71.8031835367977,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.947}",25,3,-158.70562931012472,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 3}",1
54,False,"{'a': 0.5, 'e': 0.946}",20,0,-232.19311945675815,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 5}",0
55,False,"{'a': 0.5, 'e': 0.945}",20,0,-176.04788126568303,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.944}",25,0,-64.14250533432839,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.943}",25,0,-123.35421968207997,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.942}",25,3,-116.0260323975531,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.941}",20,0,-100.7353369431015,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.94}",20,0,-77.79538906384332,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.939}",35,0,-157.4253866640282,"{0: 22, 1: 3, 2: 5, 3: 4, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.938}",20,0,-156.56656236883387,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9369999999999999}",25,0,-147.05003442692072,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9359999999999999}",20,4,-111.82315831336881,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-58.435224206889316,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9339999999999999}",25,0,-181.8911550144377,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.9329999999999999}",25,0,-96.36992255538148,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9319999999999999}",20,0,-73.33187251492426,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9309999999999999}",20,0,-179.7777934116641,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-139.76308303382817,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9289999999999999}",25,0,-51.6514154117408,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9279999999999999}",20,7,-54.11053218141974,"{0: 5, 1: 5, 2: 2, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.9269999999999999}",20,0,-155.42747622152336,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9259999999999999}",25,6,-124.21391011861236,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-72.99494311449926,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9239999999999999}",25,0,-243.20333877597602,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
77,False,"{'a': 0.5, 'e': 0.9229999999999999}",20,0,-21.263781752904368,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9219999999999999}",20,0,-63.26716090195638,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9209999999999999}",30,0,-106.74349840959694,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-81.53007682432607,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9189999999999999}",25,0,-235.0482590705284,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
82,False,"{'a': 0.5, 'e': 0.9179999999999999}",20,14,4.650306544639143,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.9169999999999999}",20,0,-68.90284329613718,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.9159999999999999}",30,0,-131.65760331815233,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
